Age,Credit_Score,Education_Level,Employment_Status,Has_Dependents,Income,Loan_Purpose,Loan_Value,Married,Prior_Default,Sex,Wtd_Ave_Debt_Interest,Defaulted,Total_Debt
42,750,1,Full-Time,Y,24602,Mortgage,1513,Married,N,Male,0.0553,N,1521
34.7,679,2,Full-Time,N,54781,Credit Card,9003,Single,N,Male,0.1247,Y,9069
31.5,746,2,Full-Time,N,47840,Credit Card,7553,Single,N,Female,0.0721,N,7586
31,741,2,Part-Time,N,60266,Credit Card,11622,Single,N,Male,0.1132,N,11677
55.7,725,3,Full-Time,N,75325,Mortgage,13617,Single,N,Female,0.141,N,13654
18.7,743,1,Full-Time,N,42180,Credit Card,2135,Single,N,Male,0.0704,N,2155
32,320,3,Full-Tme,N,142496,Bussins,32488,Single,N,Femalee,0.0968,N,32414
38,715,2,Full-Time,Y,51195,Medical,7600,Single,N,Male,0.129,N,7616
31,770,2,Full-Time,N,66049,Mortgage,7416,Single,N,Female,0.0946,N,7447
52,676,2,Full-Time,N,89689,Auto,20110,Single,N,Male,0.1586,N,20197
50.4,664,2,Part-Time,N,164641,Credit Card,121979,Single,Y,Female,0.1707,Y,122277
37.2,707,0,Full-Time,Y,30487,Credit Card,2509,Married,N,Female,0.0694,N,2533
31.7,777,2,Full-Time,N,50894,Medical,3885,Single,N,Female,0.1047,N,3891
37.8,734,2,Full-Time,Y,74319,Credit Card,17675,Married,N,Female,0.1331,N,17714
31.7,654,2,Unemployed,N,104043,Credit Card,27062,Single,Y,Female,0.1502,Y,27318
33.7,720,1,Full-Time,N,63608,Credit Card,8496,Single,N,Female,0.1352,N,8532
37.4,761,2,Full-Time,N,39660,Medical,4561,Single,N,Female,0.081,N,4568
33.8,702,2,Full-Time,N,104642,Auto,62414,Single,N,Non-Binary,0.1693,N,62501
30,720,2,Full-Time,Y,94835,Auto,17987,Single,N,Female,0.1258,Y,18114
38.8,701,2,Part-Time,N,78562,Auto,15430,Single,N,Male,0.1321,Y,15517
24.5,778,3,Full-Time,Y,74835,Medical,6720,Married,N,Male,0.0669,N,6742
46.4,687,2,Full-Time,N,113439,Credit Card,20589,Single,N,Male,0.1325,Y,20791
41.1,440,2,Pert-Time,Y,447181,Credit Crad,259960,Married,N,Femalee,0.1254,N,260405
40.7,676,2,Part-Time,N,135353,Auto,36640,Single,N,Female,0.1573,N,36874
50.3,694,2,Full-Time,Y,70254,Credit Card,6909,Single,N,Female,0.1334,N,6979
31.4,720,1,Full-Time,Y,76537,Credit Card,8201,Married,N,Male,0.1318,N,8246
40.5,708,2,Part-Time,N,95837,Auto,28472,Married,N,Female,0.1256,Y,28626
35.7,751,0,Full-Time,Y,39914,Medical,4460,Married,N,Female,0.0622,N,4479
45.4,681,2,Full-Time,N,90459,Credit Card,7364,Single,N,Female,0.1193,N,7504
41.8,723,3,Full-Time,Y,116606,Business,27194,Married,N,Male,0.153,N,27311
34.4,755,1,Full-Time,N,61380,Medical,6404,Married,N,Male,0.0951,N,6435
24.2,698,2,Full-Time,N,58145,Auto,5747,Single,N,Male,0.1292,N,5791
29.8,734,2,Full-Time,N,57212,Credit Card,18657,Single,N,Female,0.1103,N,18675
39.9,747,2,Full-Time,Y,87113,Credit Card,19730,Married,N,Male,0.1085,N,19798
31.5,747,2,Full-Time,Y,73422,Credit Card,28032,Single,N,Female,0.1221,N,28091
32.9,799,1,Full-Time,N,25553,Auto,3134,Single,N,Female,0.0707,N,3135
24.3,729,3,Full-Time,Y,29650,Business,1934,Married,N,Male,0.0636,N,1948
46.6,652,2,Part-Time,N,119362,Business,24220,Single,N,Male,0.1587,Y,24414
33.2,648,1,Part-Time,Y,74997,Credit Card,5062,Married,Y,Female,0.1417,Y,5210
28.9,808,2,Full-Time,N,28543,Business,2933,Single,N,Female,0.0553,N,2933
55.5,657,3,Part-Time,Y,172798,Credit Card,83605,Married,Y,Female,0.1626,Y,83975
37.1,761,1,Full-Time,Y,40000,Credit Card,2560,Married,N,Male,0.084,N,2563
51.6,663,2,,Y,110040,Auto,18163,Married,Y,Male,0.1707,Y,18361
54,677,2,Full-Time,Y,77555,Auto,13833,Married,N,Female,0.1362,N,13908
33.2,357,2,Prat-Time,N,497857,Auto,718796,Single,N,Femalee,0.0947,Y,719812
56.2,704,2,Full-Time,N,94520,Auto,12507,Single,N,Male,0.143,N,12599
21.5,708,2,Unemployed,N,69728,Business,12155,Single,Y,Non-Binary,0.1152,Y,12237
35,745,3,Full-Time,N,118651,Credit Card,28156,Single,N,Non-Binary,0.1154,N,28253
39.4,716,2,Full-Time,N,100443,Credit Card,8071,Single,N,Female,0.143,N,8137
51,683,2,Part-Time,Y,112960,Credit Card,12760,Married,N,Female,0.1762,N,12910
32.3,716,1,Part-Time,N,49728,Credit Card,4451,Single,N,Male,0.1082,N,4505
18.3,745,0,Full-Time,N,36014,Credit Card,1945,Single,N,Non-Binary,0.0741,N,1971
35,691,2,Full-Time,N,75160,Business,26550,Single,N,Female,0.1187,N,26630
39.1,698,2,Part-Time,N,79431,Auto,12618,Married,Y,Male,0.1577,Y,12720
45,673,2,Part-Time,Y,89378,Auto,12781,Married,N,Male,0.1354,N,12904
36.5,666,2,Part-Time,Y,152956,Auto,21056,Married,Y,Female,0.1614,Y,21340
41.7,698,2,Full-Time,N,85681,Credit Card,12479,Married,N,Female,0.1296,N,12555
27.6,815,0,Full-Time,N,45974,Medical,5284,Single,N,Male,0.0617,N,5287
49.5,613,2,Part-Time,N,119234,Auto,29855,Single,Y,Male,0.1547,Y,30147
30.3,737,2,Full-Time,Y,54320,Credit Card,5901,Married,N,Male,0.1205,N,5932
53.6,698,2,Full-Time,Y,74817,Credit Card,42541,Single,N,Male,0.1312,N,42596
38.1,716,2,Full-Time,N,,Credit Card,24386,Married,N,Male,0.0977,N,24386
35.4,676,2,Part-Time,N,50599,Auto,4864,Single,N,Female,0.1225,Y,4943
29.3,758,1,Full-Time,Y,69612,Credit Card,27621,Married,N,Female,0.094,N,27643
28.4,746,0,Full-Time,N,44966,Auto,2426,Single,N,Female,0.0648,N,2442
52.8,708,2,Full-Time,N,140629,Mortgage,45485,Single,N,Non-Binary,0.1688,Y,45639
41.6,681,2,Full-Time,N,174628,Credit Card,30494,Single,N,Non-Binary,0.1505,N,30776
43,775,3,Full-Time,N,109559,Mortgage,33608,Single,N,Male,0.1473,N,33624
45.7,664,2,Part-Time,Y,72693,Credit Card,11097,Married,Y,Non-Binary,0.147,Y,11212
29.5,775,3,Full-Time,N,72339,Credit Card,6803,Single,N,Female,0.1234,N,6811
35.9,694,2,Full-Time,N,97041,Credit Card,25426,Married,N,Female,0.157,N,25498
29.5,694,1,Full-Time,Y,48419,Mortgage,5158,Single,N,Female,0.0695,N,5234
37.2,604,2,Part-Time,Y,90291,Business,52176,Married,Y,Female,0.1648,Y,52407
31.9,658,1,Part-Time,N,66367,Credit Card,5285,Single,Y,Female,0.1379,Y,5433
34.7,793,2,Full-Time,N,81047,Medical,5912,Single,N,Female,0.1197,N,5923
36.3,676,1,Full-Time,N,38569,Credit Card,3421,Married,N,Male,0.1143,N,3447
32.6,665,2,Full-Time,Y,74061,Auto,8227,Married,N,Male,0.1115,N,8328
52,710,2,Full-Time,N,58649,Medical,10663,Single,N,Male,0.112,N,10696
33.7,732,2,Full-Time,N,64827,Business,10927,Single,N,Male,0.1123,N,10962
27.5,727,3,Part-Time,Y,86875,Credit Card,25660,Married,N,Male,0.1304,N,25734
26.9,812,0,Full-Time,N,25161,Medical,633,Single,N,Female,0.0558,N,634
34.1,745,2,Full-Time,Y,115781,Auto,28151,Married,N,Female,0.1026,N,28282
44.6,330,2,Prat-Time,Y,267514,Auto,114501,Married,N,Mail,0.1379,Y,114975
30.8,729,2,Full-Time,N,75653,Business,16025,Single,N,Male,0.108,N,16058
51.4,652,1,Part-Time,Y,69383,Credit Card,5776,Married,N,Female,0.1732,Y,5848
43.8,648,2,Full-Time,N,84659,Credit Card,25084,Married,N,Female,0.1649,N,25177
39,710,2,Full-Time,N,73751,Credit Card,7071,Single,N,Female,0.0908,N,7174
44.2,653,3,Part-Time,N,110105,Credit Card,27883,Single,Y,Male,0.1281,Y,28127
43.3,682,2,Full-Time,N,70110,Credit Card,12288,Single,N,Male,0.1391,N,12372
41.4,745,2,Full-Time,N,62532,Medical,5083,Single,N,Female,0.0915,N,5118
31.3,750,0,Full-Time,N,39686,Mortgage,5040,Single,N,Female,0.0998,N,5051
40.8,730,2,Full-Time,N,47924,Auto,5512,Married,N,Male,0.0999,N,5547
35.5,691,2,Full-Time,N,26355,Auto,764,Single,N,Female,0.0955,N,784
22.6,837,1,Full-Time,N,34424,Mortgage,4740,Married,N,Female,0.0712,N,4740
23.4,703,2,Part-Time,N,31315,Credit Card,3726,Single,N,Female,0.112,Y,3760
41.2,765,2,Full-Time,N,55182,Medical,10049,Single,N,Female,0.0971,N,10052
33.4,732,2,Full-Time,N,26167,Credit Card,1027,Single,N,Non-Binary,0.0934,N,1036
27,675,2,Unemployed,N,70852,Auto,7028,Single,Y,Female,0.1287,Y,7160
43.9,775,0,Full-Time,N,71264,Medical,7617,Single,N,Male,0.113,N,7625
38,500,2,Prat-Time,N,354411,Credit Crad,150727,Single,N,Femalee,0.1258,Y,150203
37.6,1122,2,Full-Tme,Y,497857,Auto,1982890,Married,N,Mail,0.1382,Y,1983657
24.5,742,0,Full-Time,N,18759,Medical,1443,Single,N,Male,0.0937,N,1443
23.9,729,3,Full-Time,N,31188,Business,1556,Single,N,Male,0.047,N,1578
54.7,642,2,Part-Time,Y,314402,Credit Card,148272,Married,Y,Non-Binary,0.213,Y,149130
25.2,731,2,Full-Time,N,51210,Credit Card,3147,Single,N,Male,0.0955,N,3190
28.6,672,1,Unemployed,Y,62071,Credit Card,19649,Married,Y,Male,0.1265,Y,19744
20.2,734,2,Part-Time,N,105443,Credit Card,11118,Married,N,Male,0.1177,Y,11253
39,731,3,Full-Time,Y,75897,Auto,7488,Married,N,Female,0.1119,N,7520
35.8,708,1,Full-Time,N,58457,Auto,23237,Single,N,Female,0.1185,N,23284
23.8,782,1,Full-Time,Y,38956,Mortgage,1214,Single,N,Male,0.064,N,1227
22.3,736,3,Full-Time,N,51166,Auto,3403,Married,N,Male,0.1002,N,3448
44.3,681,2,Full-Time,Y,136409,Business,29771,Single,N,Female,0.1518,N,29922
46.7,644,3,Part-Time,N,288089,Auto,489671,Single,Y,Female,0.2111,Y,490319
50.8,684,2,Full-Time,N,150840,Mortgage,50055,Single,N,Female,0.1599,N,50230
47.2,709,2,Part-Time,N,97548,Credit Card,6661,Single,N,Female,0.1172,Y,6808
47.5,728,2,Full-Time,N,94743,Credit Card,15259,Single,N,Female,0.1252,N,15330
38,751,2,Full-Time,Y,92010,Mortgage,21164,Married,N,Male,0.1029,N,21204
50.9,702,2,Part-Time,Y,181576,Mortgage,59344,Single,N,Female,0.1648,N,59576
45.7,715,2,Full-Time,N,116116,Business,28314,Single,N,Male,0.167,N,28424
25.8,731,1,Part-Time,N,46028,Credit Card,4025,Single,N,Female,0.1022,Y,4066
27.3,656,2,Unemployed,N,72069,Credit Card,15062,Single,Y,Male,0.1558,Y,15170
24.9,691,1,Part-Time,N,47274,Auto,15643,Married,N,Female,0.1258,Y,15691
45.9,610,2,Part-Time,Y,90092,Auto,19480,Married,N,Female,0.1748,Y,19697
31.9,711,2,Full-Time,Y,51528,Credit Card,3186,Married,N,Male,0.111,N,3215
54.2,728,2,Full-Time,N,81682,Mortgage,6004,Single,N,Male,0.1157,N,6057
34.2,698,2,Part-Time,N,112748,Credit Card,17796,Single,N,Female,0.1559,Y,17981
18.5,772,2,Full-Time,Y,44820,Auto,4018,Single,N,Female,0.0732,N,4028
33.2,730,2,Full-Time,N,52149,Mortgage,3535,Single,N,Female,0.1174,N,3550
29.7,733,2,Full-Time,Y,85616,Business,13193,Married,N,Female,0.1314,N,13239
28.1,629,2,Part-Time,N,67310,Credit Card,5890,Single,Y,Female,0.1301,Y,6057
28.7,758,2,Full-Time,N,76203,Credit Card,15097,Single,N,Female,0.0922,N,15139
53,628,2,Part-Time,N,240644,Credit Card,57909,Single,Y,Male,0.2009,Y,58626
27.8,697,2,Full-Time,N,53527,Auto,6016,Single,N,Female,0.1059,Y,6082
49.3,714,2,Full-Time,Y,110049,Business,23010,Married,N,Female,0.1437,N,23089
21,769,0,Full-Time,N,35795,Credit Card,897,Single,N,Female,0.0653,N,905
29.7,742,2,Full-Time,N,68054,Business,30566,Single,N,Female,0.1273,N,30604
30.6,723,2,Part-Time,N,60565,Auto,9904,Married,N,Female,0.1131,N,9957
34.7,754,0,Full-Time,N,26112,Mortgage,750,Married,N,Female,0.073,N,752
18.7,755,0,Full-Time,Y,22198,Credit Card,1429,Married,N,Female,0.0807,N,1431
28.4,724,3,Full-Time,Y,54736,Credit Card,5992,Married,N,Male,0.0841,N,6048
29.5,702,2,Part-Time,N,54718,Auto,6886,Single,Y,Male,0.131,Y,6950
20.5,750,2,Full-Time,Y,33324,Business,4220,Single,N,Male,0.1012,N,4223
43,727,2,Part-Time,N,152527,Credit Card,60488,Single,N,Male,0.1628,N,60644
52.3,697,2,Full-Time,N,55253,Auto,7022,Single,N,Female,0.1069,N,7086
28,806,2,Full-Time,N,77951,Medical,7899,Married,N,Female,0.1108,N,7901
33.7,786,2,Full-Time,N,98946,Medical,31328,Single,N,Female,0.104,N,31358
52.9,661,2,Part-Time,N,84665,Business,7885,Single,Y,Male,0.1569,Y,8042
38.6,747,4,Full-Time,N,85446,Business,25553,Single,N,Female,0.136,N,25574
48.2,699,3,Full-Time,N,137462,Business,126601,Single,N,Female,0.1531,N,126730
31.6,709,2,,N,76312,Business,26206,Single,N,Female,0.1085,N,26281
