Age,Credit_Score,Education_Level,Employment_Status,Has_Dependents,Income,Loan_Purpose,Loan_Value,Married,Prior_Default,Sex,Wtd_Ave_Debt_Interest,Total_Debt,Defaulted
35.9,690.0,2,Part-Time,N,105072.0,Credit Card,35328,Single,N,Female,0.1457,35462,N
36.6,643.0,1,Full-Time,Y,47074.0,Credit Card,8199,Married,N,Male,0.1337,8263,N
46.3,740.0,2,Full-Time,N,54489.0,Medical,4750,Single,N,Non-Binary,0.1041,4769,N
54.7,737.0,2,Full-Time,N,131456.0,Mortgage,139973,Single,N,Male,0.1269,140103,N
44.8,633.0,2,Part-Time,Y,67539.0,Credit Card,7298,Married,Y,Male,0.1557,7453,Y
30.4,671.0,2,Part-Time,N,81206.0,Auto,9891,Married,N,Female,0.139,10025,Y
45.3,639.0,1,Unemployed,N,62113.0,Credit Card,26620,Single,Y,Female,0.1477,26762,Y
28.6,707.0,3,Full-Time,N,69251.0,Credit Card,7193,Married,N,Female,0.1126,7277,Y
34.4,686.0,2,Full-Time,N,54351.0,Mortgage,3840,Single,N,Male,0.1339,3886,N
28.6,713.0,1,Full-Time,N,44309.0,Auto,3141,Single,N,Male,0.0893,3178,N
31.0,714.0,2,Full-Time,Y,47921.0,Credit Card,4363,Married,N,Male,0.1067,4396,N
44.8,745.0,2,Full-Time,N,90788.0,Mortgage,11539,Single,N,Male,0.1051,11605,N
38.3,689.0,2,Full-Time,N,67151.0,Mortgage,18939,Married,N,Non-Binary,0.1014,19021,N
41.7,667.0,4,Part-Time,N,87665.0,Credit Card,8454,Single,N,Male,0.1165,8596,N
37.9,,3,Full-Time,N,114220.0,Business,39139,Single,N,Male,0.1217,39213,N
36.0,690.0,2,Part-Time,Y,140326.0,Business,21659,Married,Y,Female,0.1582,21887,Y
35.3,775.0,3,Full-Time,N,61009.0,Mortgage,6699,Single,N,Male,0.0986,6705,N
37.6,675.0,2,Part-Time,Y,93520.0,Business,10495,Single,Y,Male,0.1444,10639,Y
40.6,730.0,1,Full-Time,Y,68776.0,Business,7095,Married,N,Female,0.1023,7135,N
29.4,642.0,2,Part-Time,Y,,Credit Card,55368,Married,Y,Male,0.13,55368,Y
21.4,713.0,2,Part-Time,N,65533.0,Auto,12883,Married,N,Female,0.1217,12951,Y
20.4,747.0,2,Full-Time,N,61725.0,Business,15621,Single,N,Female,0.1029,15633,N
38.3,720.0,1,Full-Time,N,46110.0,Credit Card,1063,Single,N,Non-Binary,0.0973,1083,N
48.9,682.0,2,Full-Time,N,116207.0,Auto,31059,Single,N,Female,0.1543,31225,Y
44.9,694.0,2,Full-Time,Y,115657.0,Business,36116,Married,N,Male,0.139,36277,N
31.5,779.0,2,Full-Time,N,60692.0,Mortgage,9209,Married,N,Male,0.1051,9227,N
36.4,735.0,1,Full-Time,N,45180.0,Mortgage,5715,Single,N,Female,0.086,5735,N
56.7,724.0,2,Full-Time,N,238898.0,Auto,85607,Single,N,Female,0.1804,85835,N
